Freq [GHz],Simulated,Measured
2,2.848585665,2.369565
2.166666667,2.732963223,2.58656
2.333333333,2.985512163,2.556568
2.5,3.317596464,2.361046464
2.666666667,3.32432478,2.36777478
2.833333333,3.221995101,2.265445101
3,3.160554727,2.204004727
3.166666667,3.146362981,2.189812981
3.333333333,3.123347659,2.166797659
3.5,3.041824908,2.085274908
3.666666667,2.889326935,1.932776935
3.833333333,2.68660229,1.73005229
4,2.568122497,1.611572497
4.166666667,2.862433279,1.905883279
4.333333333,3.450402577,2.493852577
4.5,3.938097558,2.981547558
4.666666667,4.27473236,3.47816586
4.833333333,4.514938389,3.718371889
5,4.872141941,4.075575441
5.166666667,5.693281066,4.896714566
5.333333333,6.487575945,5.691009445
5.5,6.532000843,5.175615
5.666666667,5.686871671,4.890305171
5.833333333,5.216130048,4.72515
6,5.432658809,4.636092309
6.166666667,5.317601068,4.521034568
6.333333333,4.835315975,4.038749475
6.5,4.069258442,3.272691942
6.666666667,3.789455614,2.992889114
6.833333333,3.684211141,2.887644641
7,3.916372989,3.119806489
7.166666667,4.851307786,4.036151786
7.333333333,5.59025678,4.77510078
7.5,5.17608097,4.36092497
7.666666667,3.02663446,3.8553565
7.833333333,4.069763639,3.254607639
8,5.210941592,4.12616
8.166666667,5.174204385,4.4221515
8.333333333,5.325416892,4.510260892
8.5,5.371332656,4.556176656
8.666666667,5.28126897,4.46611297
8.833333333,4.920117473,4.104961473
9,4.328680542,3.513524542
9.166666667,5.120164405,4.305008405
9.333333333,5.491586464,4.5165165
9.5,5.406399466,4.6515165
9.666666667,5.261427566,4.721656
9.833333333,5.433210243,4.856556
10,5.901878239,5.086722239
10.16666667,6.231787049,5.21651564
10.33333333,6.138838605,5.31515
10.5,6.090395069,5.4021656
10.66666667,6.248094548,5.49665565
10.83333333,6.334497594,5.566555
11,6.535965666,5.63566
11.16666667,6.676067183,5.774367683
11.33333333,6.670938516,5.563156
11.5,5.757755058,5.15356
11.66666667,4.546244795,4.786556
11.83333333,4.509658516,4.203165
12,4.976511048,3.875156165
12.16666667,4.744276663,3.506156516
12.33333333,4.166716376,4.026516
12.5,4.644423083,4.553116
12.66666667,6.930259218,4.955156
12.83333333,6.135891832,5.25655
13,6.4001612,5.503215615
